run_id,episode,reward
1,1,408.06824529767016
1,2,403.3023198783395
1,3,407.31594811379887
1,4,397.04463331699344
1,5,404.15652313232397
2,1,394.09305408298945
2,2,398.32585171461096
2,3,385.77944761663656
2,4,401.78733773082473
2,5,404.7575937643645
3,1,402.6228530019519
3,2,395.51168284714197
3,3,399.47045000195476
3,4,403.8499882936475
3,5,396.2606410324571
4,1,406.3071418225763
4,2,408.85254314541794
4,3,400.62592632770514
4,4,406.3662867233155
4,5,394.67607463300203
5,1,393.1801532208917
5,2,386.1983667135236
5,3,376.3238467544315
5,4,397.59059405028796
5,5,389.84104467928387
6,1,393.315678066015
6,2,378.3203907012937
6,3,389.91714476048924
6,4,386.9343326270578
6,5,388.79091745913007
7,1,397.5060496568678
7,2,378.17650790065505
7,3,403.98067422509166
7,4,395.82362269461134
7,5,396.23325231969335
8,1,391.7139311939476
8,2,397.8599894762037
8,3,386.2344958782194
8,4,393.70961272418475
8,5,395.0537824511526
9,1,397.9532565176484
9,2,411.77749152481533
9,3,401.42176864147166
9,4,401.3068348824976
9,5,405.07143258154366
10,1,405.61099475622154
10,2,401.28453121781325
10,3,408.3096050828693
10,4,409.5035359978674
10,5,397.63827571570846
11,1,399.8459815680978
11,2,401.5260811954734
11,3,401.1092608243224
11,4,409.2164463102815
11,5,410.11841994822004
12,1,401.52058644890764
12,2,409.8651205748317
12,3,405.5643137335775
12,4,400.73742918074106
12,5,401.14910309612725
13,1,395.8392936110494
13,2,391.1926792025564
13,3,393.69030643105486
13,4,394.6285888969896
13,5,392.1242401629684
14,1,396.66521399915194
14,2,385.8942181557415
14,3,390.5696334272621
14,4,396.4351159602401
14,5,401.9305058926342
15,1,388.3963220000265
15,2,395.1794720888135
15,3,388.02688021063784
15,4,387.8808174431322
15,5,391.3965397983787
16,1,399.3041101813314
16,2,384.45141652226425
16,3,384.35220685005163
16,4,387.2193964421747
16,5,386.8481174141166
17,1,392.9569749921558
17,2,404.31887519359566
17,3,388.57555221319177
17,4,394.78217076063135
17,5,402.0633688539264
18,1,414.7349276572464
18,2,408.09441753625845
18,3,405.11633509397484
18,4,410.99904268383955
18,5,401.6944155186413
19,1,406.5633743256328
19,2,400.6955206185577
19,3,405.6174031734464
19,4,401.5197734743354
19,5,400.5749255418775
20,1,395.781014922261
20,2,405.172689387202
20,3,410.04801426827885
20,4,401.7691851854322
20,5,401.613262543082
21,1,404.46027635931944
21,2,390.5245384335516
21,3,389.43249050080755
21,4,396.23263526856874
21,5,386.16419596225
22,1,391.5750696957109
22,2,400.22725359201405
22,3,387.51290411949134
22,4,397.6476208031175
22,5,393.3125128626821
23,1,402.02813461124873
23,2,392.5481500148771
23,3,383.5478768020866
23,4,397.4355461657045
23,5,392.4080098420379
24,1,393.7253993183372
24,2,404.82043090760686
24,3,388.9202139049766
24,4,398.5542499721048
24,5,400.01202068328837
25,1,407.5660080194471
25,2,396.10743936598277
25,3,399.792353788018
25,4,404.75026235282394
25,5,405.49387797713257
26,1,403.27166075408434
26,2,409.0544488102195
26,3,405.65141108036016
26,4,405.0195469498632
26,5,399.60855685174437
27,1,397.75140898823713
27,2,411.38412248492216
27,3,404.09760300219034
27,4,408.2630433976648
27,5,401.5743480265138
28,1,394.6370919495819
28,2,395.9348284661767
28,3,405.14812667667843
28,4,399.8988125801084
28,5,395.9992368191478
29,1,392.43951754719006
29,2,392.90066695213295
29,3,398.553324306011
29,4,386.65504532158354
29,5,394.9109479308126
30,1,393.3353271514175
30,2,394.68014793992023
30,3,393.0094618707893
30,4,382.98015509247756
30,5,395.3740668326614
31,1,397.9512876272199
31,2,404.90940547287437
31,3,393.46229523718335
31,4,393.87242525517917
31,5,393.96574879288653
32,1,398.5059135675428
32,2,401.11223089694954
32,3,400.62328596711137
32,4,396.81591673493364
32,5,401.7134200185535
33,1,395.8300465792415
33,2,408.17380035519574
33,3,404.486054754257
33,4,379.33745925724486
33,5,393.50439842343303
34,1,408.74567506909347
34,2,407.05820913910844
34,3,379.1957149863241
34,4,402.4821090817449
34,5,395.3556122153995
35,1,393.3616252362726
35,2,399.6689998179672
35,3,409.09312348365756
35,4,406.56107898056484
35,5,382.227823385596
36,1,399.70943057537056
36,2,403.7377760142085
36,3,394.37277195453623
36,4,394.572181817889
36,5,405.9292590886352
37,1,406.517425188422
37,2,391.96421239078023
37,3,392.79863491058325
37,4,398.83435408771015
37,5,401.24428268671016
38,1,374.16211802661394
38,2,393.14197436571095
38,3,395.2077636331317
38,4,379.270588698983
38,5,408.45418136119815
39,1,396.06574550569036
39,2,400.46359563469866
39,3,403.79610324203946
39,4,399.35789714753605
39,5,402.78637843132
40,1,390.46809716820695
40,2,394.6906304478643
40,3,395.46197480261304
40,4,405.7991497427223
40,5,400.69390267431714
41,1,402.95885606706116
41,2,397.5908315420148
41,3,396.20399701595284
41,4,400.7332338154314
41,5,404.9489108666776
42,1,414.33355959057786
42,2,391.5601880371568
42,3,395.1132478892801
42,4,403.61008421182606
42,5,402.24216095507126
43,1,413.3087047100065
43,2,405.8796801209447
43,3,389.96464059650873
43,4,400.97725132405736
43,5,392.76620105206945
44,1,396.159889706969
44,2,403.06107152402376
44,3,393.7725800812242
44,4,394.23895141184306
44,5,409.1001425683496
45,1,398.4901103556154
45,2,400.74903627336005
45,3,400.19659098684764
45,4,400.63888894915556
45,5,397.9711377531288
46,1,377.1584435045717
46,2,399.7501717865465
46,3,398.26248488128164
46,4,398.2737802952526
46,5,404.2154507428405
