run_id,learning_rate,gamma,n_steps,batch_size,ent_coef,clip_range,gae_lambda,vf_coef,avg_reward,std_reward,avg_length,grazing_balance_mean
1,0.0003,0.95,128,64,0.0,0.2,0.9,0.5,265.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
2,0.0003,0.95,128,64,0.0,0.2,0.9,0.7,265.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
3,0.0003,0.95,128,64,0.0,0.2,0.95,0.5,265.0,0.0,30.0,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]"
4,0.0003,0.95,128,64,0.0,0.2,0.95,0.7,265.0,0.0,30.0,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]"
5,0.0003,0.95,128,64,0.0,0.3,0.9,0.5,265.0,0.0,30.0,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]"
6,0.0003,0.95,128,64,0.0,0.3,0.9,0.7,265.0,0.0,30.0,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]"
7,0.0003,0.95,128,64,0.0,0.3,0.95,0.5,265.0,0.0,30.0,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]"
8,0.0003,0.95,128,64,0.0,0.3,0.95,0.7,265.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
9,0.0003,0.95,128,64,0.02,0.2,0.9,0.5,265.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
10,0.0003,0.95,128,64,0.02,0.2,0.9,0.7,265.0,0.0,30.0,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]"
11,0.0003,0.95,128,64,0.02,0.2,0.95,0.5,265.0,0.0,30.0,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]"
12,0.0003,0.95,128,64,0.02,0.2,0.95,0.7,265.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
13,0.0003,0.95,128,64,0.02,0.3,0.9,0.5,265.0,0.0,30.0,"[0.26666666666666666, 0.4666666666666667, 0.26666666666666666]"
14,0.0003,0.95,128,64,0.02,0.3,0.9,0.7,265.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
15,0.0003,0.95,128,64,0.02,0.3,0.95,0.5,230.0,0.0,30.0,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]"
16,0.0003,0.95,128,64,0.02,0.3,0.95,0.7,265.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
17,0.0003,0.95,128,128,0.0,0.2,0.9,0.5,225.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
18,0.0003,0.95,128,128,0.0,0.2,0.9,0.7,105.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
19,0.0003,0.95,128,128,0.0,0.2,0.95,0.5,250.0,0.0,30.0,"[0.4666666666666667, 0.26666666666666666, 0.26666666666666666]"
20,0.0003,0.95,128,128,0.0,0.2,0.95,0.7,245.0,0.0,30.0,"[0.26666666666666666, 0.26666666666666666, 0.4666666666666667]"
