run_id,timestamp,params,avg_reward,std_reward,avg_length,mean_hunger,mean_thirst,grazing_balance,best,time_sec
1,2025-11-24 11:15:06,"{'learning_rate': 0.001, 'gamma': 0.95, 'hidden_size': 64, 'entropy_coef': 0.0}",260.7215576685964,31.78209362654953,45.0,0.2159080179428062,0.1116,"[0.3643700159489633, 0.20058327637275006, 0.43504670767828657]",yes,43.1
2,2025-11-24 11:15:43,"{'learning_rate': 0.001, 'gamma': 0.95, 'hidden_size': 64, 'entropy_coef': 0.01}",223.46430075347416,33.04344980621481,45.0,0.3219090646074881,0.08671111111111111,"[0.32629858961128316, 0.29135706914344683, 0.38234434124527006]",,36.5
3,2025-11-24 11:16:22,"{'learning_rate': 0.001, 'gamma': 0.95, 'hidden_size': 128, 'entropy_coef': 0.0}",134.9522115334123,134.702585745555,41.0,0.12833564267398587,0.2724277777777779,"[0.40769520990234065, 0.18446350229032743, 0.4078412878073319]",,39.1
4,2025-11-24 11:17:01,"{'learning_rate': 0.001, 'gamma': 0.95, 'hidden_size': 128, 'entropy_coef': 0.01}",240.26931005574752,46.72030941029093,45.0,0.25180288511266335,0.06582222222222221,"[0.29688682490540075, 0.25243206054351564, 0.4506811145510836]",,38.8
5,2025-11-24 11:17:38,"{'learning_rate': 0.001, 'gamma': 0.99, 'hidden_size': 64, 'entropy_coef': 0.0}",202.4302634645253,99.03046041804134,41.0,0.15775371862143284,0.24674666666666675,"[0.2790128205128205, 0.36388176638176634, 0.3571054131054131]",,37.6
6,2025-11-24 11:18:17,"{'learning_rate': 0.001, 'gamma': 0.99, 'hidden_size': 64, 'entropy_coef': 0.01}",168.27701434362672,106.30718079897072,39.6,0.16088444044205058,0.22133333333333338,"[0.3422433862433863, 0.19396825396825396, 0.4637883597883598]",,39.2
7,2025-11-24 11:18:57,"{'learning_rate': 0.001, 'gamma': 0.99, 'hidden_size': 128, 'entropy_coef': 0.0}",222.74539891537265,131.48430449132917,38.2,0.1780164473055063,0.15857373737373742,"[0.2419139636530941, 0.4650218541522889, 0.29306418219461694]",,39.7
8,2025-11-24 11:19:38,"{'learning_rate': 0.001, 'gamma': 0.99, 'hidden_size': 128, 'entropy_coef': 0.01}",251.66145074844354,41.66436698928673,45.0,0.22593009212563456,0.09666666666666668,"[0.34400956937799043, 0.3389314194577352, 0.3170590111642743]",,41.0
9,2025-11-24 11:20:13,"{'learning_rate': 0.0005, 'gamma': 0.95, 'hidden_size': 64, 'entropy_coef': 0.0}",202.925252264887,135.39816480487366,37.8,0.31678620663848206,0.14035555555555554,"[0.31118908382066274, 0.3035282651072125, 0.3852826510721248]",,35.1
10,2025-11-24 11:20:47,"{'learning_rate': 0.0005, 'gamma': 0.95, 'hidden_size': 64, 'entropy_coef': 0.01}",192.14284215718502,139.34286625231752,37.2,0.3243867445154324,0.12493333333333334,"[0.2978491981587956, 0.24079152128687734, 0.261359280554327]",,33.8
11,2025-11-24 11:21:24,"{'learning_rate': 0.0005, 'gamma': 0.95, 'hidden_size': 128, 'entropy_coef': 0.0}",272.0537401959299,17.371944594526454,45.0,0.17593644881662404,0.2163111111111112,"[0.26751798925711967, 0.3658204114725854, 0.36666159927029496]",yes,37.2
12,2025-11-24 11:22:02,"{'learning_rate': 0.0005, 'gamma': 0.95, 'hidden_size': 128, 'entropy_coef': 0.01}",170.4718296415358,149.66386522451418,38.2,0.20244284494072212,0.2578222222222223,"[0.4575641025641025, 0.30343589743589744, 0.23900000000000002]",,37.8
13,2025-11-24 11:22:37,"{'learning_rate': 0.0005, 'gamma': 0.99, 'hidden_size': 64, 'entropy_coef': 0.0}",165.25123275134703,165.59761140624866,42.8,0.19449674216130983,0.2362705882352943,"[0.3298701298701298, 0.304978354978355, 0.3651515151515151]",,35.2
14,2025-11-24 11:23:13,"{'learning_rate': 0.0005, 'gamma': 0.99, 'hidden_size': 64, 'entropy_coef': 0.01}",179.77500333160157,99.5554437489582,41.4,0.19813602653923973,0.18278518518518524,"[0.3310361931333799, 0.36307680384406726, 0.3058870030225529]",,35.6
15,2025-11-24 11:23:49,"{'learning_rate': 0.0005, 'gamma': 0.99, 'hidden_size': 128, 'entropy_coef': 0.0}",196.83098260715596,153.97719902928944,38.0,0.15512237147697153,0.2419111111111112,"[0.3656231884057971, 0.26320289855072465, 0.37117391304347824]",,36.4
16,2025-11-24 11:24:27,"{'learning_rate': 0.0005, 'gamma': 0.99, 'hidden_size': 128, 'entropy_coef': 0.01}",269.63573989704236,56.28428888796299,45.0,0.12982033934096499,0.1673777777777778,"[0.3400563607085346, 0.36690821256038647, 0.2930354267310789]",,37.5
